"Statistic Label","Year","State","UNIT","VALUE"
"Total Imports","1930","State","Euro Thousand","72091"
"Total Imports","1931","State","Euro Thousand","64072"
"Total Imports","1932","State","Euro Thousand","54058"
"Total Imports","1933","State","Euro Thousand","45443"
"Total Imports","1934","State","Euro Thousand","49675"
"Total Imports","1935","State","Euro Thousand","47422"
"Total Imports","1936","State","Euro Thousand","50679"
"Total Imports","1937","State","Euro Thousand","56006"
"Total Imports","1938","State","Euro Thousand","52585"
"Total Imports","1939","State","Euro Thousand","55126"
"Total Imports","1940","State","Euro Thousand","59411"
"Total Imports","1941","State","Euro Thousand","37495"
"Total Imports","1942","State","Euro Thousand","43971"
"Total Imports","1943","State","Euro Thousand","33469"
"Total Imports","1944","State","Euro Thousand","36227"
"Total Imports","1945","State","Euro Thousand","52152"
"Total Imports","1946","State","Euro Thousand","91476"
"Total Imports","1947","State","Euro Thousand","166761"
"Total Imports","1948","State","Euro Thousand","173086"
"Total Imports","1949","State","Euro Thousand","165361"
"Total Imports","1950","State","Euro Thousand","202389"
"Total Imports","1951","State","Euro Thousand","259783"
"Total Imports","1952","State","Euro Thousand","218787"
"Total Imports","1953","State","Euro Thousand","231702"
"Total Imports","1954","State","Euro Thousand","228413"
"Total Imports","1955","State","Euro Thousand","263678"
"Total Imports","1956","State","Euro Thousand","232170"
"Total Imports","1957","State","Euro Thousand","233850"
"Total Imports","1958","State","Euro Thousand","252623"
"Total Imports","1959","State","Euro Thousand","270006"
"Total Imports","1960","State","Euro Thousand","287250"
"Total Imports","1961","State","Euro Thousand","331913"
"Total Imports","1962","State","Euro Thousand","347558"
"Total Imports","1963","State","Euro Thousand","390678"
"Total Imports","1964","State","Euro Thousand","458097"
"Total Imports","1965","State","Euro Thousand","492407"
"Total Imports","1966","State","Euro Thousand","503730"
"Total Imports","1967","State","Euro Thousand","526515"
"Total Imports","1968","State","Euro Thousand","655342"
"Total Imports","1969","State","Euro Thousand","779162"
"Total Imports","1970","State","Euro Thousand","859171"
"Total Imports","1971","State","Euro Thousand","958542"
"Total Imports","1972","State","Euro Thousand","1064108"
"Total Imports","1973","State","Euro Thousand","1443992"
"Total Imports","1974","State","Euro Thousand","2064989"
"Total Imports","1975","State","Euro Thousand","2163778"
"Total Imports","1976","State","Euro Thousand","2968561"
"Total Imports","1977","State","Euro Thousand","3924617"
